id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided context, which specifies a 15-minute initial response time and a 4-hour resolution time.",5,"The answer directly addresses the query by providing specific SLA times for P1 tickets, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"Both answers include the same key points regarding the SLA for ticket P1, specifically the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation.",5,The answer directly addresses the query by specifying the time frame (7 days) within which customers can request a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all important points in the expected answer.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that Level 3 access requires approval from Line Manager, IT Admin, and IT Security, which is confirmed in the second chunk.",5,The answer directly addresses the query by specifying the required approvals for granting Level 3 access.,5,Retrieved: 1/1 expected sources,5,"Both answers mention the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access, covering all key points.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturing defect, which aligns with the provided context. However, it does not mention the specific time frame for refund requests (7 days) or the conditions for other products, which affects its completeness.",5,"The answer directly addresses the query about the refund policy for digital products, stating that they are generally non-refundable except in specific circumstances.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions that digital products are non-refundable unless there is a manufacturer error, but it does not explicitly state that digital products are exceptions to the refund policy, as highlighted in the expected answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved chunk regarding account lockout after 5 failed login attempts and the methods to unlock the account.,5,The answer directly addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the key point about the account being locked after 5 failed login attempts, but it adds additional information about unlocking the account, which is not part of the expected answer.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, trong trường hợp khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the escalation process for P1 incidents and the temporary permission granting process by the On-call IT Admin.,5,"The answer provides a clear and detailed explanation of the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer and the protocol for temporary permissions, which directly addresses the query.",5,Retrieved: 1/1 expected sources,4,"The model answer includes the escalation process for P1 tickets and the time frame for escalation, but it adds additional information about emergency procedures and temporary permissions that are not present in the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the content of the retrieved chunks, specifically mentioning the approval process for granting access to internal systems as outlined in the first chunk.",5,The answer directly addresses the query by explaining what the Approval Matrix is and its purpose in the context of granting access rights to internal systems.,5,Retrieved: 1/1 expected sources,2,The model answer mentions the approval matrix for system access but does not include the updated name 'Access Control SOP' or the specific document reference.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the retrieved chunks regarding remote work conditions, specifically that employees can work remotely up to 2 days per week after the probation period and that the schedule must be approved by the Team Lead through the HR Portal.",5,The answer directly addresses the query by specifying the maximum number of remote days allowed per week and includes relevant conditions.,5,Retrieved: 1/1 expected sources,5,"Both answers convey the same key points: employees can work remotely up to 2 days a week after the probation period, and this requires approval from the Team Lead.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý là kiểm tra và đảm bảo rằng người dùng có quyền truy cập phù hợp theo phân cấp quyền truy cập đã được thiết lập. Nếu cần, người dùng có thể yêu cầu nâng cấp quyền truy cập thông qua quy trình phê duyệt [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately describes the ERR-403-AUTH error as related to access rights and suggests checking the access levels, which aligns with the provided context about access levels and approval processes.",5,"The answer directly addresses the query about ERR-403-AUTH, explaining what the error is and providing a clear method for resolution.",,No expected sources,2,"The model answer provides some information about the ERR-403-AUTH error and suggests checking access rights, but it does not mention that there is no information available in the existing documentation or the suggestion to contact IT Helpdesk, which are key points in the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong bối cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer states that there is no specific information about an emergency refund process for VIP customers, which is not directly addressed in the provided chunks. However, the chunks do contain information about general refund conditions and methods, which could imply that there might be a process in place, but it does not specifically mention VIP customers or an emergency process.",2,"The answer acknowledges the lack of specific information regarding the emergency refund process for VIP customers, but it does not provide any relevant details or guidance related to the query.",5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of specific information about the VIP refund process but does not mention the standard refund process timeframe of 3-5 business days, which is a key point in the expected answer.",variant_hybrid_rerank
